"Date","Ethnicity","Age_Group","Death_Count"
"2023-01-16","Asian","0 to 59",21
"2023-01-16","Asian","60 to 69",11
"2023-01-16","Asian","70 to 79",37
"2023-01-16","Asian","80 to 89",59
"2023-01-16","Asian","90+",23
"2023-01-16","European or other","0 to 59",146
"2023-01-16","European or other","60 to 69",199
"2023-01-16","European or other","70 to 79",572
"2023-01-16","European or other","80 to 89",1109
"2023-01-16","European or other","90+",901
"2023-01-16","Māori","0 to 59",99
"2023-01-16","Māori","60 to 69",72
"2023-01-16","Māori","70 to 79",91
"2023-01-16","Māori","80 to 89",80
"2023-01-16","Māori","90+",30
"2023-01-16","Pacific people","0 to 59",43
"2023-01-16","Pacific people","60 to 69",32
"2023-01-16","Pacific people","70 to 79",53
"2023-01-16","Pacific people","80 to 89",65
"2023-01-16","Pacific people","90+",24
