"Location","Date","Case_Status","Cases_Count"
"At the Border*","2023-01-16","Active",0
"Canterbury","2023-01-16","Active",2321
"Capital and Coast","2023-01-16","Active",1216
"Auckland","2023-01-16","Active",1728
"Hutt Valley","2023-01-16","Active",532
"Bay of Plenty","2023-01-16","Active",1094
"Mid Central","2023-01-16","Active",767
"Counties Manukau","2023-01-16","Active",2139
"Hawke's Bay","2023-01-16","Active",757
"Lakes","2023-01-16","Active",434
"Southern","2023-01-16","Active",1117
"Nelson Marlborough","2023-01-16","Active",835
"Taranaki","2023-01-16","Active",546
"Northland","2023-01-16","Active",785
"South Canterbury","2023-01-16","Active",149
"Tairāwhiti","2023-01-16","Active",423
"Unknown","2023-01-16","Active",39
"Waikato","2023-01-16","Active",1548
"Waitematā","2023-01-16","Active",2159
"West Coast","2023-01-16","Active",106
"Wairarapa","2023-01-16","Active",201
"Whanganui","2023-01-16","Active",267
"Auckland","2023-01-16","Deceased",158
"At the Border*","2023-01-16","Deceased",6
"Canterbury","2023-01-16","Deceased",337
"Counties Manukau","2023-01-16","Deceased",196
"Bay of Plenty","2023-01-16","Deceased",122
"Hawke's Bay","2023-01-16","Deceased",113
"Capital and Coast","2023-01-16","Deceased",110
"Lakes","2023-01-16","Deceased",72
"Hutt Valley","2023-01-16","Deceased",73
"Mid Central","2023-01-16","Deceased",126
"Nelson Marlborough","2023-01-16","Deceased",83
"Northland","2023-01-16","Deceased",81
"South Canterbury","2023-01-16","Deceased",30
"Southern","2023-01-16","Deceased",197
"Tairāwhiti","2023-01-16","Deceased",27
"Taranaki","2023-01-16","Deceased",92
"Unknown","2023-01-16","Deceased",2
"Waikato","2023-01-16","Deceased",243
"Wairarapa","2023-01-16","Deceased",47
"Waitematā","2023-01-16","Deceased",264
"West Coast","2023-01-16","Deceased",13
"Whanganui","2023-01-16","Deceased",45
"At the Border*","2023-01-16","Recovered",27207
"Auckland","2023-01-16","Recovered",205335
"Bay of Plenty","2023-01-16","Recovered",95525
"Counties Manukau","2023-01-16","Recovered",247949
"Canterbury","2023-01-16","Recovered",275902
"Capital and Coast","2023-01-16","Recovered",150100
"Hutt Valley","2023-01-16","Recovered",73856
"Hawke's Bay","2023-01-16","Recovered",71783
"Lakes","2023-01-16","Recovered",42634
"Mid Central","2023-01-16","Recovered",77866
"Nelson Marlborough","2023-01-16","Recovered",62560
"South Canterbury","2023-01-16","Recovered",27579
"Southern","2023-01-16","Recovered",153799
"Northland","2023-01-16","Recovered",65441
"Tairāwhiti","2023-01-16","Recovered",21295
"Unknown","2023-01-16","Recovered",1444
"Taranaki","2023-01-16","Recovered",52978
"Wairarapa","2023-01-16","Recovered",20222
"Waitematā","2023-01-16","Recovered",253720
"Waikato","2023-01-16","Recovered",169235
"Whanganui","2023-01-16","Recovered",27438
"West Coast","2023-01-16","Recovered",12465
