"Date","Case_Status","Cases_Count"
"2020-02-28","Active",1
"2020-02-28","Deceased",0
"2020-02-28","Recovered",0
"2020-02-29","Active",1
"2020-02-29","Deceased",0
"2020-02-29","Recovered",0
"2020-03-01","Active",1
"2020-03-01","Deceased",0
"2020-03-01","Recovered",0
"2020-03-02","Active",1
"2020-03-02","Deceased",0
"2020-03-02","Recovered",0
"2020-03-03","Active",1
"2020-03-03","Deceased",0
"2020-03-03","Recovered",0
"2020-03-04","Active",3
"2020-03-04","Deceased",0
"2020-03-04","Recovered",0
"2020-03-05","Active",3
"2020-03-05","Deceased",0
"2020-03-05","Recovered",0
"2020-03-06","Active",4
"2020-03-06","Deceased",0
"2020-03-06","Recovered",0
"2020-03-07","Active",5
"2020-03-07","Deceased",0
"2020-03-07","Recovered",0
"2020-03-08","Active",5
"2020-03-08","Deceased",0
"2020-03-08","Recovered",0
"2020-03-09","Active",5
"2020-03-09","Deceased",0
"2020-03-09","Recovered",0
"2020-03-10","Active",5
"2020-03-10","Deceased",0
"2020-03-10","Recovered",0
"2020-03-11","Active",5
"2020-03-11","Deceased",0
"2020-03-11","Recovered",0
"2020-03-12","Active",5
"2020-03-12","Deceased",0
"2020-03-12","Recovered",0
"2020-03-13","Active",5
"2020-03-13","Deceased",0
"2020-03-13","Recovered",0
"2020-03-14","Active",6
"2020-03-14","Deceased",0
"2020-03-14","Recovered",0
"2020-03-15","Active",8
"2020-03-15","Deceased",0
"2020-03-15","Recovered",0
"2020-03-16","Active",8
"2020-03-16","Deceased",0
"2020-03-16","Recovered",0
"2020-03-17","Active",12
"2020-03-17","Deceased",0
"2020-03-17","Recovered",0
"2020-03-18","Active",20
"2020-03-18","Deceased",0
"2020-03-18","Recovered",0
"2020-03-19","Active",28
"2020-03-19","Deceased",0
"2020-03-19","Recovered",0
"2020-03-20","Active",39
"2020-03-20","Deceased",0
"2020-03-20","Recovered",0
"2020-03-21","Active",52
"2020-03-21","Deceased",0
"2020-03-21","Recovered",0
"2020-03-22","Active",66
"2020-03-22","Deceased",0
"2020-03-22","Recovered",0
"2020-03-23","Active",102
"2020-03-23","Deceased",0
"2020-03-23","Recovered",0
