"Location","Date","Case_Status","Cases_Count"
"Bay of Plenty","2021-12-15","Import-related",16
"Auckland","2021-12-15","Import-related",30
"Canterbury","2021-12-15","Import-related",18
"Capital and Coast","2021-12-15","Import-related",38
"Counties Manukau","2021-12-15","Import-related",33
"Hawke's Bay","2021-12-15","Import-related",14
"Nelson Marlborough","2021-12-15","Import-related",15
"Hutt Valley","2021-12-15","Import-related",8
"Lakes","2021-12-15","Import-related",2
"Midcentral","2021-12-15","Import-related",6
"Northland","2021-12-15","Import-related",7
"New Zealand","2021-12-15","Import-related",496
"South Canterbury","2021-12-15","Import-related",2
"Southern","2021-12-15","Import-related",131
"Taranaki","2021-12-15","Import-related",2
"Tairawhiti","2021-12-15","Import-related",2
"Wairarapa","2021-12-15","Import-related",3
"Waikato","2021-12-15","Import-related",133
"Waitemata","2021-12-15","Import-related",35
"West Coast","2021-12-15","Import-related",1
"Whanganui","2021-12-15","Import-related",0
"Auckland","2021-12-15","Imported",601
"Bay of Plenty","2021-12-15","Imported",36
"Canterbury","2021-12-15","Imported",328
"Hawke's Bay","2021-12-15","Imported",21
"Capital and Coast","2021-12-15","Imported",85
"Hutt Valley","2021-12-15","Imported",15
"Counties Manukau","2021-12-15","Imported",568
"Lakes","2021-12-15","Imported",23
"Midcentral","2021-12-15","Imported",21
"Nelson Marlborough","2021-12-15","Imported",29
"South Canterbury","2021-12-15","Imported",6
"New Zealand","2021-12-15","Imported",2009
"Northland","2021-12-15","Imported",13
"Tairawhiti","2021-12-15","Imported",2
"Southern","2021-12-15","Imported",69
"Taranaki","2021-12-15","Imported",14
"Waikato","2021-12-15","Imported",75
"Wairarapa","2021-12-15","Imported",4
"Waitemata","2021-12-15","Imported",91
"Whanganui","2021-12-15","Imported",7
"West Coast","2021-12-15","Imported",1
"Auckland","2021-12-15","Locally acquired, linked",1967
"Canterbury","2021-12-15","Locally acquired, linked",103
"Capital and Coast","2021-12-15","Locally acquired, linked",20
"Bay of Plenty","2021-12-15","Locally acquired, linked",92
"Counties Manukau","2021-12-15","Locally acquired, linked",4195
"Hawke's Bay","2021-12-15","Locally acquired, linked",11
"Hutt Valley","2021-12-15","Locally acquired, linked",2
"Lakes","2021-12-15","Locally acquired, linked",28
"Midcentral","2021-12-15","Locally acquired, linked",6
"Nelson Marlborough","2021-12-15","Locally acquired, linked",4
"Southern","2021-12-15","Locally acquired, linked",14
"New Zealand","2021-12-15","Locally acquired, linked",9401
"Taranaki","2021-12-15","Locally acquired, linked",5
"Northland","2021-12-15","Locally acquired, linked",65
"South Canterbury","2021-12-15","Locally acquired, linked",4
"Whanganui","2021-12-15","Locally acquired, linked",0
"Tairawhiti","2021-12-15","Locally acquired, linked",0
"Waikato","2021-12-15","Locally acquired, linked",537
"Wairarapa","2021-12-15","Locally acquired, linked",0
"Waitemata","2021-12-15","Locally acquired, linked",2347
"West Coast","2021-12-15","Locally acquired, linked",1
"Bay of Plenty","2021-12-15","Locally acquired, unknown source",5
"Auckland","2021-12-15","Locally acquired, unknown source",16
"Canterbury","2021-12-15","Locally acquired, unknown source",9
"Hutt Valley","2021-12-15","Locally acquired, unknown source",0
"Capital and Coast","2021-12-15","Locally acquired, unknown source",1
"Midcentral","2021-12-15","Locally acquired, unknown source",0
"Counties Manukau","2021-12-15","Locally acquired, unknown source",20
"Hawke's Bay","2021-12-15","Locally acquired, unknown source",1
"Lakes","2021-12-15","Locally acquired, unknown source",2
"Nelson Marlborough","2021-12-15","Locally acquired, unknown source",4
"South Canterbury","2021-12-15","Locally acquired, unknown source",6
"New Zealand","2021-12-15","Locally acquired, unknown source",116
"Northland","2021-12-15","Locally acquired, unknown source",6
"Tairawhiti","2021-12-15","Locally acquired, unknown source",0
"Waikato","2021-12-15","Locally acquired, unknown source",9
"Southern","2021-12-15","Locally acquired, unknown source",19
"Taranaki","2021-12-15","Locally acquired, unknown source",1
"Wairarapa","2021-12-15","Locally acquired, unknown source",1
"Waitemata","2021-12-15","Locally acquired, unknown source",12
"West Coast","2021-12-15","Locally acquired, unknown source",2
"Whanganui","2021-12-15","Locally acquired, unknown source",2
"Auckland","2021-12-15","Under investigation",197
"Canterbury","2021-12-15","Under investigation",15
"Capital and Coast","2021-12-15","Under investigation",2
"Bay of Plenty","2021-12-15","Under investigation",21
"Counties Manukau","2021-12-15","Under investigation",363
"Hutt Valley","2021-12-15","Under investigation",0
"Hawke's Bay","2021-12-15","Under investigation",0
"Lakes","2021-12-15","Under investigation",7
"New Zealand","2021-12-15","Under investigation",1039
"Midcentral","2021-12-15","Under investigation",6
"Tairawhiti","2021-12-15","Under investigation",0
"Nelson Marlborough","2021-12-15","Under investigation",24
"Waikato","2021-12-15","Under investigation",48
"Northland","2021-12-15","Under investigation",35
"South Canterbury","2021-12-15","Under investigation",0
"Southern","2021-12-15","Under investigation",1
"Wairarapa","2021-12-15","Under investigation",3
"Taranaki","2021-12-15","Under investigation",4
"Waitemata","2021-12-15","Under investigation",312
"Whanganui","2021-12-15","Under investigation",1
"West Coast","2021-12-15","Under investigation",0
