"Date","Cases_Count"
"2020-02-26",1
"2020-02-27",0
"2020-02-28",0
"2020-02-29",0
"2020-03-01",0
"2020-03-02",1
"2020-03-03",0
"2020-03-04",2
"2020-03-05",2
"2020-03-06",1
"2020-03-07",0
"2020-03-08",0
"2020-03-09",0
"2020-03-10",0
"2020-03-11",0
"2020-03-12",1
"2020-03-13",1
"2020-03-14",1
"2020-03-15",1
"2020-03-16",7
"2020-03-17",12
"2020-03-18",5
"2020-03-19",18
"2020-03-20",11
"2020-03-21",24
"2020-03-22",44
"2020-03-23",41
"2020-03-24",58
"2020-03-25",84
"2020-03-26",79
"2020-03-27",75
"2020-03-28",72
"2020-03-29",74
"2020-03-30",52
"2020-03-31",77
"2020-04-01",73
"2020-04-02",82
"2020-04-03",75
"2020-04-04",77
"2020-04-05",70
"2020-04-06",53
"2020-04-07",37
"2020-04-08",28
"2020-04-09",44
"2020-04-10",27
"2020-04-11",25
"2020-04-12",20
"2020-04-13",11
"2020-04-14",16
"2020-04-15",11
"2020-04-16",17
"2020-04-17",12
"2020-04-18",10
"2020-04-19",10
"2020-04-20",3
"2020-04-21",6
"2020-04-22",5
"2020-04-23",5
"2020-04-24",6
"2020-04-25",6
"2020-04-26",3
"2020-04-27",3
"2020-04-28",1
"2020-04-29",2
"2020-04-30",3
"2020-05-01",6
"2020-05-02",0
"2020-05-03",1
"2020-05-04",0
"2020-05-05",2
"2020-05-06",2
"2020-05-07",1
"2020-05-08",1
"2020-05-09",1
"2020-05-10",3
"2020-05-11",0
"2020-05-12",0
"2020-05-13",0
"2020-05-14",1
"2020-05-15",1
"2020-05-16",0
"2020-05-17",0
"2020-05-18",0
"2020-05-19",0
"2020-05-20",0
"2020-05-21",0
"2020-05-22",1
"2020-05-23",0
"2020-05-24",0
"2020-05-25",0
"2020-05-26",0
"2020-05-27",0
"2020-05-28",0
"2020-05-29",0
"2020-05-30",0
"2020-05-31",0
"2020-06-01",0
"2020-06-02",0
"2020-06-03",0
"2020-06-04",0
"2020-06-05",0
"2020-06-06",0
"2020-06-07",0
"2020-06-08",0
"2020-06-09",0
"2020-06-10",0
"2020-06-11",0
"2020-06-12",0
"2020-06-13",0
"2020-06-14",0
"2020-06-15",0
"2020-06-16",2
"2020-06-17",1
"2020-06-18",0
"2020-06-19",2
"2020-06-20",1
"2020-06-21",3
"2020-06-22",2
"2020-06-23",1
"2020-06-24",3
"2020-06-25",1
"2020-06-26",1
"2020-06-27",5
"2020-06-28",1
"2020-06-29",1
"2020-06-30",0
"2020-07-01",1
"2020-07-02",1
"2020-07-03",0
"2020-07-04",0
"2020-07-05",3
"2020-07-06",3
"2020-07-07",2
"2020-07-08",2
"2020-07-09",3
"2020-07-10",0
"2020-07-11",1
"2020-07-12",0
"2020-07-13",1
"2020-07-14",3
"2020-07-15",0
"2020-07-16",1
"2020-07-17",2
"2020-07-18",2
"2020-07-19",1
"2020-07-20",1
"2020-07-21",0
"2020-07-22",0
"2020-07-23",0
"2020-07-24",1
"2020-07-25",0
"2020-07-26",0
"2020-07-27",2
"2020-07-28",1
"2020-07-29",1
"2020-07-30",0
"2020-07-31",2
"2020-08-01",2
"2020-08-02",3
"2020-08-03",0
"2020-08-04",2
"2020-08-05",0
"2020-08-06",0
"2020-08-07",0
"2020-08-08",0
"2020-08-09",0
"2020-08-10",0
"2020-08-11",5
"2020-08-12",15
"2020-08-13",12
"2020-08-14",5
"2020-08-15",14
"2020-08-16",12
"2020-08-17",9
"2020-08-18",11
"2020-08-19",5
"2020-08-20",7
"2020-08-21",7
"2020-08-22",4
"2020-08-23",8
"2020-08-24",7
"2020-08-25",4
"2020-08-26",7
"2020-08-27",6
"2020-08-28",18
"2020-08-29",4
"2020-08-30",5
"2020-08-31",14
"2020-09-01",6
"2020-09-02",5
"2020-09-03",3
"2020-09-04",5
"2020-09-05",7
"2020-09-06",3
"2020-09-07",6
"2020-09-08",6
"2020-09-09",3
"2020-09-10",2
"2020-09-11",2
"2020-09-12",2
"2020-09-13",1
"2020-09-14",5
"2020-09-15",0
"2020-09-16",12
"2020-09-17",0
"2020-09-18",3
"2020-09-19",3
"2020-09-20",0
"2020-09-21",1
"2020-09-22",3
"2020-09-23",3
"2020-09-24",2
"2020-09-25",1
"2020-09-26",2
"2020-09-27",2
"2020-09-28",1
"2020-09-29",0
"2020-09-30",6
"2020-10-01",6
"2020-10-02",2
"2020-10-03",4
"2020-10-04",2
"2020-10-05",3
"2020-10-06",2
"2020-10-07",3
"2020-10-08",3
"2020-10-09",4
"2020-10-10",0
"2020-10-11",3
"2020-10-12",1
"2020-10-13",2
"2020-10-14",1
"2020-10-15",5
"2020-10-16",1
"2020-10-17",4
"2020-10-18",1
"2020-10-19",1
"2020-10-20",22
"2020-10-21",4
"2020-10-22",3
"2020-10-23",18
"2020-10-24",0
"2020-10-25",4
"2020-10-26",1
"2020-10-27",3
"2020-10-28",6
"2020-10-29",1
"2020-10-30",6
"2020-10-31",5
"2020-11-01",3
"2020-11-02",5
"2020-11-03",1
"2020-11-04",3
"2020-11-05",1
"2020-11-06",1
"2020-11-07",6
"2020-11-08",1
"2020-11-09",4
"2020-11-10",1
"2020-11-11",3
"2020-11-12",4
"2020-11-13",3
"2020-11-14",3
"2020-11-15",1
"2020-11-16",3
"2020-11-17",1
"2020-11-18",8
"2020-11-19",1
"2020-11-20",4
"2020-11-21",6
"2020-11-22",2
"2020-11-23",10
"2020-11-24",3
"2020-11-25",1
"2020-11-26",7
"2020-11-27",3
"2020-11-28",4
"2020-11-29",3
"2020-11-30",6
"2020-12-01",3
"2020-12-02",2
"2020-12-03",3
"2020-12-04",9
"2020-12-05",0
"2020-12-06",2
"2020-12-07",6
"2020-12-08",2
"2020-12-09",2
"2020-12-10",3
"2020-12-11",1
"2020-12-12",5
"2020-12-13",0
"2020-12-14",4
"2020-12-15",0
"2020-12-16",4
"2020-12-17",4
"2020-12-18",2
"2020-12-19",7
"2020-12-20",4
"2020-12-21",5
"2020-12-22",2
"2020-12-23",3
"2020-12-24",6
"2020-12-25",2
"2020-12-26",3
"2020-12-27",3
"2020-12-28",6
"2020-12-29",4
"2020-12-30",7
"2020-12-31",3
"2021-01-01",6
"2021-01-02",8
"2021-01-03",3
"2021-01-04",1
"2021-01-05",2
"2021-01-06",2
"2021-01-07",18
"2021-01-08",4
"2021-01-09",8
"2021-01-10",9
"2021-01-11",6
"2021-01-12",2
"2021-01-13",8
"2021-01-14",6
"2021-01-15",6
"2021-01-16",5
"2021-01-17",2
"2021-01-18",2
"2021-01-19",2
"2021-01-20",4
"2021-01-21",4
"2021-01-22",3
"2021-01-23",6
"2021-01-24",6
"2021-01-25",2
"2021-01-26",1
"2021-01-27",6
"2021-01-28",5
"2021-01-29",2
"2021-01-30",0
"2021-01-31",0
"2021-02-01",1
"2021-02-02",4
"2021-02-03",3
"2021-02-04",4
"2021-02-05",2
"2021-02-06",2
"2021-02-07",0
"2021-02-08",1
"2021-02-09",2
"2021-02-10",2
"2021-02-11",1
"2021-02-12",4
"2021-02-13",2
"2021-02-14",5
"2021-02-15",1
"2021-02-16",2
"2021-02-17",5
"2021-02-18",0
"2021-02-19",7
"2021-02-20",2
"2021-02-21",1
"2021-02-22",5
"2021-02-23",7
"2021-02-24",2
"2021-02-25",2
"2021-02-26",1
"2021-02-27",4
"2021-02-28",3
"2021-03-01",4
"2021-03-02",1
"2021-03-03",6
"2021-03-04",0
"2021-03-05",9
"2021-03-06",1
"2021-03-07",7
"2021-03-08",3
"2021-03-09",1
"2021-03-10",8
"2021-03-11",1
