"Location","Report_date","Cases"
"Total","2023-01-13",2427
"Total","2023-01-12",2783
"Total","2023-01-11",3092
"Total","2023-01-10",3511
"Total","2023-01-09",4037
"Total","2023-01-08",2429
"Total","2023-01-07",2347
"Total","2023-01-06",3244
"Total","2023-01-05",3586
"Total","2023-01-04",4386
"Total","2023-01-03",3089
"Total","2023-01-02",2571
"Total","2023-01-01",1870
"Total","2022-12-31",2268
"Total","2022-12-30",3312
"Total","2022-12-29",3818
"Total","2022-12-28",4577
"Total","2022-12-27",3640
"Total","2022-12-26",3255
"Total","2022-12-25",2163
"Total","2022-12-24",2815
"Total","2022-12-23",4049
"Total","2022-12-22",4654
"Total","2022-12-21",5335
"Total","2022-12-20",6131
"Total","2022-12-19",6833
"Total","2022-12-18",4010
"Total","2022-12-17",3826
"Total","2022-12-16",5315
"Total","2022-12-15",6515
"Total","2022-12-14",7086
"Total","2022-12-13",7511
"Total","2022-12-12",8443
"Total","2022-12-11",4732
"Total","2022-12-10",3848
"Total","2022-12-09",5354
"Total","2022-12-08",5604
"Total","2022-12-07",6314
"Total","2022-12-06",6709
"Total","2022-12-05",7493
"Total","2022-12-04",3906
"Total","2022-12-03",3311
"Total","2022-12-02",4543
"Total","2022-12-01",5013
"Total","2022-11-30",5826
"Total","2022-11-29",5907
"Total","2022-11-28",5994
"Total","2022-11-27",3230
"Total","2022-11-26",2714
"Total","2022-11-25",3545
"Total","2022-11-24",3915
"Total","2022-11-23",4303
"Total","2022-11-22",4588
"Total","2022-11-21",4756
"Total","2022-11-20",2655
"Total","2022-11-19",2376
"Total","2022-11-18",4327
"Total","2022-11-17",2873
"Total","2022-11-16",3683
"Total","2022-11-15",3846
"Total","2022-11-14",4284
"Total","2022-11-13",2516
"Total","2022-11-12",2106
"Total","2022-11-11",2775
"Total","2022-11-10",3179
"Total","2022-11-09",3504
"Total","2022-11-08",3570
"Total","2022-11-07",3912
"Total","2022-11-06",2313
"Total","2022-11-05",1923
"Total","2022-11-04",2718
"Total","2022-11-03",3148
"Total","2022-11-02",3329
"Total","2022-11-01",3493
"Total","2022-10-31",3856
"Total","2022-10-30",2396
"Total","2022-10-29",2142
"Total","2022-10-28",2867
"Total","2022-10-27",3171
"Total","2022-10-26",3577
"Total","2022-10-25",3923
"Total","2022-10-24",2410
"Total","2022-10-23",1638
"Total","2022-10-22",1588
"Total","2022-10-21",2195
"Total","2022-10-20",2432
"Total","2022-10-19",2635
"Total","2022-10-18",2924
"Total","2022-10-17",2923
"Total","2022-10-16",1751
"Total","2022-10-15",1469
"Total","2022-10-14",1907
"Total","2022-10-13",2174
"Total","2022-10-12",2329
"Total","2022-10-11",2213
"Total","2022-10-10",2444
"Total","2022-10-09",1380
"Total","2022-10-08",1135
"Total","2022-10-07",1541
"Total","2022-10-06",1737
"Total","2022-10-05",1764
"Total","2022-10-04",1832
"Total","2022-10-03",1797
"Total","2022-10-02",1145
"Total","2022-10-01",927
"Total","2022-09-30",1446
"Total","2022-09-29",1576
"Total","2022-09-28",1660
"Total","2022-09-27",1939
"Total","2022-09-26",1256
"Total","2022-09-25",954
"Total","2022-09-24",913
"Total","2022-09-23",1289
"Total","2022-09-22",1540
"Total","2022-09-21",1649
"Total","2022-09-20",1622
"Total","2022-09-19",1817
"Total","2022-09-18",1022
"Total","2022-09-17",885
"Total","2022-09-16",1146
"Total","2022-09-15",1325
"Total","2022-09-14",1589
"Total","2022-09-13",1596
"Total","2022-09-12",2021
"Total","2022-09-11",1189
"Total","2022-09-10",1009
"Total","2022-09-09",1463
"Total","2022-09-08",1548
"Total","2022-09-07",1735
"Total","2022-09-06",1890
"Total","2022-09-05",2136
"Total","2022-09-04",1334
"Total","2022-09-03",1155
"Total","2022-09-02",1704
"Total","2022-09-01",1890
"Total","2022-08-31",2195
"Total","2022-08-30",2345
"Total","2022-08-29",2570
"Total","2022-08-28",1694
"Total","2022-08-27",1464
"Total","2022-08-26",2271
"Total","2022-08-25",2482
"Total","2022-08-24",2899
"Total","2022-08-23",3283
"Total","2022-08-22",3819
"Total","2022-08-21",2729
"Total","2022-08-20",2333
"Total","2022-08-19",3412
"Total","2022-08-18",3894
"Total","2022-08-17",4622
"Total","2022-08-16",4664
"Total","2022-08-15",4972
"Total","2022-08-14",3419
"Total","2022-08-13",2910
"Total","2022-08-12",3720
"Total","2022-08-11",4281
"Total","2022-08-10",5004
"Total","2022-08-09",5401
"Total","2022-08-08",6112
"Total","2022-08-07",4050
"Total","2022-08-06",3647
"Total","2022-08-05",4894
"Total","2022-08-04",5501
"Total","2022-08-03",6340
"Total","2022-08-02",6704
"Total","2022-08-01",7359
"Total","2022-07-31",5331
"Total","2022-07-30",4694
"Total","2022-07-29",6464
"Total","2022-07-28",7910
"Total","2022-07-27",7931
"Total","2022-07-26",9128
"Total","2022-07-25",9678
"Total","2022-07-24",7018
"Total","2022-07-23",6126
"Total","2022-07-22",8062
"Total","2022-07-21",9056
"Total","2022-07-20",10339
"Total","2022-07-19",10681
"Total","2022-07-18",10749
"Total","2022-07-17",7705
"Total","2022-07-16",6790
"Total","2022-07-15",9526
"Total","2022-07-14",10796
"Total","2022-07-13",11710
"Total","2022-07-12",11779
"Total","2022-07-11",11846
"Total","2022-07-10",8690
"Total","2022-07-09",7769
"Total","2022-07-08",9555
"Total","2022-07-07",9566
"Total","2022-07-06",10936
"Total","2022-07-05",10559
"Total","2022-07-04",9829
"Total","2022-07-03",6584
"Total","2022-07-02",5481
"Total","2022-07-01",6825
"Total","2022-06-30",7408
"Total","2022-06-29",7860
"Total","2022-06-28",8130
"Total","2022-06-27",8377
"Total","2022-06-26",5773
"Total","2022-06-25",4613
"Total","2022-06-24",4010
"Total","2022-06-23",5041
"Total","2022-06-22",5546
"Total","2022-06-21",5763
"Total","2022-06-20",5878
"Total","2022-06-19",4193
"Total","2022-06-18",3367
"Total","2022-06-17",4577
"Total","2022-06-16",5086
"Total","2022-06-15",5702
"Total","2022-06-14",5810
"Total","2022-06-13",6426
"Total","2022-06-12",4623
"Total","2022-06-11",4570
"Total","2022-06-10",5335
"Total","2022-06-09",6540
"Total","2022-06-08",8237
"Total","2022-06-07",7338
"Total","2022-06-06",5980
"Total","2022-06-05",4556
"Total","2022-06-04",4536
"Total","2022-06-03",6503
"Total","2022-06-02",6441
"Total","2022-06-01",8133
"Total","2022-05-31",8471
"Total","2022-05-30",8709
"Total","2022-05-29",5991
"Total","2022-05-28",4961
"Total","2022-05-27",6527
"Total","2022-05-26",7124
"Total","2022-05-25",7839
"Total","2022-05-24",8395
"Total","2022-05-23",8678
"Total","2022-05-22",6150
"Total","2022-05-21",5148
"Total","2022-05-20",6857
"Total","2022-05-19",8050
"Total","2022-05-18",9362
"Total","2022-05-17",9784
"Total","2022-05-16",10095
"Total","2022-05-15",7226
"Total","2022-05-14",5913
"Total","2022-05-13",7227
"Total","2022-05-12",7630
"Total","2022-05-11",9631
"Total","2022-05-10",8209
"Total","2022-05-09",9448
"Total","2022-05-08",6553
"Total","2022-05-07",5810
"Total","2022-05-06",6927
"Total","2022-05-05",7561
"Total","2022-05-04",8871
"Total","2022-05-03",8813
"Total","2022-05-02",9332
"Total","2022-05-01",6807
"Total","2022-04-30",5828
"Total","2022-04-29",7221
"Total","2022-04-28",8418
"Total","2022-04-27",9254
"Total","2022-04-26",10049
"Total","2022-04-25",6519
"Total","2022-04-24",5784
"Total","2022-04-23",5755
"Total","2022-04-22",8052
"Total","2022-04-21",9523
"Total","2022-04-20",10413
"Total","2022-04-19",11383
"Total","2022-04-18",8455
"Total","2022-04-17",6329
"Total","2022-04-16",6010
"Total","2022-04-15",5815
"Total","2022-04-14",7896
"Total","2022-04-13",9707
"Total","2022-04-12",9588
"Total","2022-04-11",11218
"Total","2022-04-10",7684
"Total","2022-04-09",6790
"Total","2022-04-08",8595
"Total","2022-04-07",10041
"Total","2022-04-06",11745
"Total","2022-04-05",12685
"Total","2022-04-04",14221
"Total","2022-04-03",10269
"Total","2022-04-02",8853
"Total","2022-04-01",11694
"Total","2022-03-31",13561
"Total","2022-03-30",15319
"Total","2022-03-29",15993
"Total","2022-03-28",17220
"Total","2022-03-27",12547
"Total","2022-03-26",10685
"Total","2022-03-25",14203
"Total","2022-03-24",15942
"Total","2022-03-23",18499
"Total","2022-03-22",20161
"Total","2022-03-21",20973
"Total","2022-03-20",14494
"Total","2022-03-19",12041
"Total","2022-03-18",15628
"Total","2022-03-17",17108
"Total","2022-03-16",19602
"Total","2022-03-15",19513
"Total","2022-03-14",21656
"Total","2022-03-13",15591
"Total","2022-03-12",14523
"Total","2022-03-11",18729
"Total","2022-03-10",21063
"Total","2022-03-09",21030
"Total","2022-03-08",22490
"Total","2022-03-07",23941
"Total","2022-03-06",17492
"Total","2022-03-05",15241
"Total","2022-03-04",18875
"Total","2022-03-03",22536
"Total","2022-03-02",23171
"Total","2022-03-01",22239
"Total","2022-02-28",19901
"Total","2022-02-27",14590
"Total","2022-02-26",12769
"Total","2022-02-25",24323
"Total","2022-02-24",5404
"Total","2022-02-23",3962
"Total","2022-02-22",3443
"Total","2022-02-21",2850
"Total","2022-02-20",2096
"Total","2022-02-19",2513
"Total","2022-02-18",1770
"Total","2022-02-17",1909
"Total","2022-02-16",1547
"Total","2022-02-15",1192
"Total","2022-02-14",752
"Total","2022-02-13",687
"Total","2022-02-12",721
"Total","2022-02-11",678
"Total","2022-02-10",470
"Total","2022-02-09",450
"Total","2022-02-08",186
"Total","2022-02-07",289
"Total","2022-02-06",233
"Total","2022-02-05",212
"Total","2022-02-04",288
"Total","2022-02-03",282
"Total","2022-02-02",205
"Total","2022-02-01",182
"Total","2022-01-31",176
"Total","2022-01-30",135
"Total","2022-01-29",190
"Total","2022-01-28",166
"Total","2022-01-27",157
"Total","2022-01-26",121
"Total","2022-01-25",59
"Total","2022-01-24",65
"Total","2022-01-23",78
"Total","2022-01-22",75
"Total","2022-01-21",72
"Total","2022-01-20",78
"Total","2022-01-19",60
"Total","2022-01-18",66
"Total","2022-01-17",81
"Total","2022-01-16",31
"Total","2022-01-15",89
"Total","2022-01-14",53
"Total","2022-01-13",47
"Total","2022-01-12",58
"Total","2022-01-11",68
"Total","2022-01-10",52
"Total","2022-01-09",61
"Total","2022-01-08",64
"Total","2022-01-07",64
"Total","2022-01-06",74
"Total","2022-01-05",58
"Total","2022-01-04",46
"Total","2022-01-03",48
"Total","2022-01-02",53
"Total","2022-01-01",65
"Total","2021-12-31",71
"Total","2021-12-30",66
"Total","2021-12-29",47
"Total","2021-12-28",74
"Total","2021-12-27",35
"Total","2021-12-26",37
"Total","2021-12-25",47
"Total","2021-12-24",86
"Total","2021-12-23",51
"Total","2021-12-22",86
"Total","2021-12-21",58
"Total","2021-12-20",37
"Total","2021-12-19",45
"Total","2021-12-18",77
"Total","2021-12-17",67
"Total","2021-12-16",80
"Total","2021-12-15",101
"Total","2021-12-14",77
"Total","2021-12-13",65
"Total","2021-12-12",72
"Total","2021-12-11",97
"Total","2021-12-10",87
"Total","2021-12-09",93
"Total","2021-12-08",113
"Total","2021-12-07",107
"Total","2021-12-06",88
"Total","2021-12-05",99
"Total","2021-12-04",102
"Total","2021-12-03",128
"Total","2021-12-02",111
"Total","2021-12-01",133
"Total","2021-11-30",137
"Total","2021-11-29",131
"Total","2021-11-28",175
"Total","2021-11-27",137
"Total","2021-11-26",166
"Total","2021-11-25",198
"Total","2021-11-24",195
"Total","2021-11-23",182
"Total","2021-11-22",186
"Total","2021-11-21",205
"Total","2021-11-20",208
"Total","2021-11-19",172
"Total","2021-11-18",176
"Total","2021-11-17",202
"Total","2021-11-16",165
"Total","2021-11-15",183
"Total","2021-11-14",221
"Total","2021-11-13",147
"Total","2021-11-12",172
"Total","2021-11-11",214
"Total","2021-11-10",226
"Total","2021-11-09",159
"Total","2021-11-08",124
"Total","2021-11-07",150
"Total","2021-11-06",170
"Total","2021-11-05",154
"Total","2021-11-04",181
"Total","2021-11-03",173
"Total","2021-11-02",120
"Total","2021-11-01",113
"Total","2021-10-31",156
"Total","2021-10-30",162
"Total","2021-10-29",117
"Total","2021-10-28",153
"Total","2021-10-27",111
"Total","2021-10-26",87
"Total","2021-10-25",74
"Total","2021-10-24",105
"Total","2021-10-23",92
"Total","2021-10-22",101
"Total","2021-10-21",116
"Total","2021-10-20",102
"Total","2021-10-19",90
"Total","2021-10-18",86
