"Date","Case_Status","Case_Count"
"2020-02-26","Reported",1
"2020-02-27","Reported",0
"2020-02-28","Reported",0
"2020-02-29","Reported",0
"2020-03-01","Reported",0
"2020-03-02","Reported",1
"2020-03-03","Reported",0
"2020-03-04","Reported",2
"2020-03-05","Reported",2
"2020-03-06","Reported",1
"2020-03-07","Reported",0
"2020-03-08","Reported",0
"2020-03-09","Reported",0
"2020-03-10","Reported",0
"2020-03-11","Reported",0
"2020-03-12","Reported",1
"2020-03-13","Reported",1
"2020-03-14","Reported",1
"2020-03-15","Reported",1
"2020-03-16","Reported",7
"2020-03-17","Reported",12
"2020-03-18","Reported",5
"2020-03-19","Reported",18
"2020-03-20","Reported",11
"2020-03-21","Reported",24
"2020-03-22","Reported",44
"2020-03-23","Reported",41
"2020-03-24","Reported",58
"2020-03-25","Reported",84
"2020-03-26","Reported",79
"2020-03-27","Reported",75
"2020-03-28","Reported",72
"2020-03-29","Reported",74
"2020-03-30","Reported",52
"2020-03-31","Reported",77
"2020-04-01","Reported",73
"2020-04-02","Reported",82
"2020-04-03","Reported",75
"2020-04-04","Reported",77
"2020-04-05","Reported",70
"2020-04-06","Reported",53
"2020-04-07","Reported",37
"2020-04-08","Reported",28
"2020-04-09","Reported",44
"2020-04-10","Reported",27
"2020-04-11","Reported",25
"2020-04-12","Reported",20
"2020-04-13","Reported",11
"2020-04-14","Reported",16
"2020-04-15","Reported",11
"2020-04-16","Reported",17
"2020-04-17","Reported",12
"2020-04-18","Reported",10
"2020-04-19","Reported",10
"2020-04-20","Reported",3
"2020-04-21","Reported",6
"2020-04-22","Reported",5
"2020-04-23","Reported",5
"2020-04-24","Reported",6
"2020-04-25","Reported",6
"2020-04-26","Reported",3
"2020-04-27","Reported",3
"2020-04-28","Reported",1
"2020-04-29","Reported",2
"2020-04-30","Reported",3
"2020-05-01","Reported",6
"2020-05-02","Reported",0
"2020-05-03","Reported",1
"2020-05-04","Reported",0
"2020-05-05","Reported",2
"2020-05-06","Reported",2
"2020-05-07","Reported",1
"2020-05-08","Reported",1
"2020-05-09","Reported",1
"2020-05-10","Reported",3
"2020-05-11","Reported",0
